"student_id","ai_theme","ai_theme_rerun"
"S0001","Workload",NA
"S0002","Supervision",NA
"S0003","Supervision",NA
"S0005","Workload",NA
"S0006","Finances","Finances"
"S0007","Workload","Workload"
"S0008","Workload",NA
"S0009","Supervision","Supervision"
"S0010","Isolation",NA
"S0011","Supervision",NA
"S0012","Supervision",NA
"S0013","Supervision",NA
"S0014","Family",NA
"S0016","Workload",NA
"S0017","Supervision","Supervision"
"S0018","Health",NA
"S0019","Isolation","Isolation"
"S0020","Finances","Finances"
"S0021","Supervision","Supervision"
"S0022","Workload",NA
"S0023","Workload",NA
"S0024","Supervision",NA
"S0025","Health",NA
"S0026","Supervision",NA
"S0027","Family",NA
"S0028","Other",NA
"S0029","Supervision","Supervision"
"S0030","Supervision",NA
"S0031","Isolation","Isolation"
"S0032","Finances","Finances"
"S0033","Isolation",NA
"S0034","Workload","Workload"
"S0035","Workload","Workload"
"S0036","Health","Health"
"S0037","Supervision",NA
"S0039","Isolation","Isolation"
"S0040","Workload",NA
"S0041","Supervision","Supervision"
"S0042","Isolation","Isolation"
"S0044","Health","Health"
"S0045","Family","Family"
"S0046","Family","Family"
"S0047","Supervision",NA
"S0048","Health","Health"
"S0049","Other","Other"
"S0050","Workload",NA
"S0051","Finances",NA
"S0052","Workload",NA
"S0053","Health",NA
"S0054","Workload","Workload"
"S0055","Isolation","Isolation"
"S0056","Finances",NA
"S0057","Isolation",NA
"S0058","Finances",NA
"S0059","Supervision",NA
"S0061","Family",NA
"S0062","Supervision","Supervision"
"S0063","Family",NA
"S0064","Workload",NA
"S0065","Isolation","Isolation"
"S0066","Workload","Workload"
"S0067","Workload","Workload"
"S0068","Isolation","Isolation"
"S0069","Supervision",NA
"S0070","Other",NA
"S0071","Family","Family"
"S0072","Supervision",NA
"S0073","Workload",NA
"S0074","Supervision",NA
"S0076","Family","Family"
"S0077","Supervision","Supervision"
"S0078","Family",NA
"S0079","Workload","Workload"
"S0080","Supervision","Supervision"
"S0081","Other","Other"
"S0082","Family",NA
"S0085","Supervision",NA
"S0087","Supervision","Supervision"
"S0088","Isolation","Isolation"
"S0089","Workload",NA
"S0090","Workload",NA
"S0092","Supervision",NA
"S0093","Supervision","Supervision"
"S0094","Supervision",NA
"S0095","Supervision",NA
"S0096","Health",NA
"S0097","Finances",NA
"S0098","Finances",NA
"S0099","Supervision",NA
"S0101","Workload",NA
"S0103","Supervision","Supervision"
"S0105","Workload","Workload"
"S0106","Health",NA
"S0108","Workload",NA
"S0109","Workload",NA
"S0110","Finances","Finances"
"S0111","Isolation","Isolation"
"S0112","Workload","Workload"
"S0113","Family","Family"
"S0114","Health","Health"
"S0115","Health","Health"
"S0116","Supervision",NA
"S0117","Supervision",NA
"S0118","Isolation","Isolation"
"S0119","Finances",NA
"S0121","Supervision",NA
"S0122","Health",NA
"S0123","Supervision","Supervision"
"S0124","Workload",NA
"S0125","Supervision","Supervision"
"S0126","Health","Health"
"S0127","Supervision",NA
"S0128","Supervision","Supervision"
"S0129","Health","Health"
"S0130","Workload",NA
"S0131","Supervision",NA
"S0132","Isolation","Isolation"
"S0133","Workload","Workload"
"S0134","Finances",NA
"S0135","Isolation",NA
"S0136","Isolation","Isolation"
"S0138","Family","Family"
"S0139","Supervision",NA
"S0140","Supervision","Supervision"
"S0141","Workload","Workload"
"S0142","Workload","Workload"
"S0143","Workload",NA
"S0144","Supervision","Supervision"
"S0145","Workload",NA
"S0146","Workload","Workload"
"S0147","Supervision","Supervision"
"S0148","Workload","Workload"
"S0149","Workload",NA
"S0150","Supervision","Supervision"
"S0151","Workload",NA
"S0152","Supervision","Supervision"
"S0153","Workload",NA
"S0154","Family","Family"
"S0155","Supervision",NA
"S0156","Workload",NA
"S0157","Finances","Finances"
"S0158","Finances",NA
"S0159","Workload","Workload"
"S0160","Health",NA
"S0161","Isolation",NA
"S0162","Supervision",NA
"S0163","Workload",NA
"S0164","Supervision",NA
"S0165","Supervision",NA
"S0166","Workload","Workload"
"S0167","Isolation",NA
"S0168","Family",NA
"S0169","Isolation",NA
"S0170","Supervision",NA
"S0171","Supervision","Supervision"
"S0172","Isolation","Isolation"
"S0173","Isolation",NA
"S0174","Health","Health"
"S0175","Isolation",NA
"S0176","Supervision","Supervision"
"S0177","Health",NA
"S0178","Workload",NA
"S0179","Finances",NA
"S0180","Supervision",NA
"S0181","Supervision","Supervision"
"S0182","Supervision","Supervision"
"S0184","Supervision",NA
"S0185","Supervision","Supervision"
"S0186","Workload",NA
"S0187","Supervision",NA
"S0188","Supervision",NA
"S0189","Supervision","Supervision"
"S0190","Workload","Workload"
"S0191","Family","Family"
"S0192","Supervision",NA
"S0193","Supervision","Supervision"
"S0194","Health",NA
"S0195","Workload",NA
"S0196","Workload",NA
"S0197","Health","Health"
"S0198","Supervision",NA
"S0199","Workload","Workload"
"S0200","Workload","Workload"
"S0201","Isolation","Isolation"
"S0202","Workload",NA
"S0203","Supervision","Supervision"
"S0204","Workload",NA
"S0205","Supervision",NA
"S0206","Supervision",NA
"S0207","Workload",NA
"S0208","Supervision",NA
"S0209","Supervision",NA
"S0210","Family","Family"
"S0211","Workload",NA
"S0212","Family","Family"
"S0213","Supervision",NA
"S0214","Family","Family"
"S0215","Health",NA
"S0216","Family",NA
"S0217","Family",NA
"S0219","Family",NA
"S0221","Finances",NA
"S0222","Supervision",NA
"S0223","Finances",NA
"S0224","Workload",NA
"S0225","Supervision",NA
"S0226","Supervision",NA
"S0227","Other",NA
"S0228","Supervision","Supervision"
"S0229","Workload","Workload"
"S0230","Supervision",NA
"S0231","Finances","Finances"
"S0232","Supervision","Supervision"
"S0235","Isolation",NA
"S0236","Supervision",NA
"S0237","Other","Other"
"S0239","Other",NA
"S0241","Health",NA
"S0242","Other","Other"
"S0243","Isolation",NA
"S0244","Other","Other"
"S0245","Other",NA
"S0246","Supervision","Supervision"
"S0247","Supervision",NA
"S0248","Health",NA
"S0249","Health",NA
"S0250","Isolation",NA
"S0251","Supervision",NA
"S0252","Workload",NA
"S0253","Supervision",NA
"S0254","Supervision",NA
"S0255","Other",NA
"S0256","Supervision",NA
"S0257","Supervision",NA
"S0258","Finances",NA
"S0259","Supervision",NA
"S0260","Supervision","Supervision"
"S0261","Supervision","Supervision"
"S0262","Workload","Workload"
"S0263","Family","Family"
"S0264","Family",NA
"S0265","Supervision",NA
"S0266","Finances",NA
"S0267","Health",NA
"S0268","Workload",NA
"S0271","Supervision","Supervision"
"S0272","Supervision",NA
"S0273","Health",NA
"S0274","Other",NA
"S0275","Family",NA
"S0276","Supervision",NA
"S0277","Workload",NA
"S0278","Workload",NA
"S0279","Isolation",NA
"S0280","Isolation","Isolation"
"S0282","Supervision",NA
"S0283","Health","Health"
"S0284","Supervision","Supervision"
"S0285","Supervision",NA
"S0287","Isolation",NA
"S0288","Supervision",NA
"S0289","Health",NA
"S0290","Supervision",NA
"S0291","Finances","Finances"
"S0292","Finances",NA
"S0293","Finances",NA
"S0294","Supervision",NA
"S0295","Supervision",NA
"S0296","Health",NA
"S0297","Isolation","Isolation"
"S0298","Supervision",NA
"S0299","Workload",NA
"S0300","Finances",NA
"S0301","Supervision",NA
"S0302","Supervision",NA
"S0303","Family",NA
"S0304","Supervision","Supervision"
"S0305","Supervision","Supervision"
"S0306","Health",NA
"S0307","Workload",NA
"S0308","Health",NA
"S0309","Other",NA
"S0310","Workload",NA
"S0311","Supervision","Supervision"
"S0312","Workload",NA
"S0313","Isolation",NA
"S0314","Supervision",NA
"S0316","Health",NA
"S0317","Workload",NA
"S0319","Isolation",NA
"S0320","Workload","Workload"
"S0321","Supervision",NA
"S0322","Family",NA
"S0324","Supervision","Supervision"
"S0325","Workload","Workload"
"S0326","Supervision","Supervision"
"S0327","Family","Family"
"S0328","Family","Family"
"S0329","Supervision","Supervision"
"S0330","Other",NA
"S0331","Supervision",NA
"S0332","Isolation","Isolation"
"S0333","Health","Health"
"S0334","Isolation","Isolation"
"S0335","Health",NA
"S0336","Supervision",NA
"S0337","Family",NA
"S0338","Family",NA
"S0339","Workload",NA
"S0340","Supervision",NA
"S0341","Supervision","Supervision"
"S0342","Finances","Finances"
"S0343","Supervision",NA
"S0344","Workload","Workload"
"S0345","Health","Health"
"S0346","Finances","Finances"
"S0347","Workload",NA
"S0348","Workload",NA
"S0349","Health",NA
"S0352","Finances",NA
"S0353","Finances","Finances"
"S0355","Family",NA
"S0356","Supervision","Supervision"
"S0357","Health","Health"
"S0358","Supervision","Supervision"
"S0359","Supervision",NA
"S0360","Family","Family"
"S0361","Isolation",NA
"S0362","Supervision","Supervision"
"S0363","Supervision","Supervision"
"S0364","Isolation","Isolation"
"S0365","Supervision",NA
"S0366","Isolation","Isolation"
"S0367","Workload",NA
"S0368","Isolation",NA
"S0369","Supervision",NA
"S0370","Workload","Workload"
"S0371","Health",NA
"S0372","Supervision",NA
"S0374","Workload","Workload"
"S0375","Supervision","Supervision"
"S0377","Supervision","Supervision"
"S0378","Supervision","Supervision"
"S0379","Isolation","Isolation"
"S0381","Supervision",NA
"S0382","Finances","Finances"
"S0383","Isolation",NA
"S0384","Other",NA
"S0385","Supervision",NA
"S0386","Workload",NA
"S0387","Family","Family"
"S0388","Isolation","Isolation"
"S0389","Finances",NA
"S0390","Supervision",NA
"S0391","Health",NA
"S0392","Workload",NA
"S0393","Workload","Workload"
"S0396","Workload","Workload"
"S0397","Other",NA
"S0398","Workload",NA
"S0399","Isolation",NA
"S0400","Family",NA
"S0401","Workload","Workload"
"S0402","Workload",NA
"S0403","Isolation","Isolation"
"S0404","Isolation","Isolation"
"S0405","Workload",NA
"S0406","Supervision",NA
"S0407","Supervision","Supervision"
"S0408","Isolation",NA
"S0409","Supervision",NA
"S0410","Supervision","Supervision"
"S0411","Health",NA
"S0412","Health",NA
"S0413","Workload","Workload"
"S0415","Workload",NA
"S0416","Supervision","Supervision"
"S0417","Finances",NA
"S0418","Supervision",NA
"S0420","Supervision","Supervision"
"S0421","Workload","Workload"
"S0422","Supervision","Supervision"
"S0423","Workload",NA
"S0424","Supervision",NA
"S0425","Workload",NA
"S0426","Workload",NA
"S0427","Workload",NA
"S0428","Family",NA
"S0430","Supervision",NA
"S0432","Isolation","Isolation"
"S0434","Supervision",NA
"S0435","Workload",NA
"S0436","Family",NA
"S0437","Workload",NA
"S0438","Supervision",NA
"S0439","Isolation","Isolation"
"S0441","Finances",NA
"S0442","Finances","Finances"
"S0443","Health",NA
"S0444","Supervision",NA
"S0445","Family",NA
"S0446","Workload",NA
"S0447","Workload",NA
"S0448","Finances",NA
"S0449","Supervision","Supervision"
"S0450","Isolation","Isolation"
"S0451","Health",NA
"S0452","Isolation",NA
"S0453","Finances","Finances"
"S0454","Supervision",NA
"S0455","Supervision",NA
"S0457","Finances",NA
"S0458","Workload",NA
"S0459","Workload","Workload"
"S0460","Isolation","Isolation"
"S0461","Isolation","Isolation"
"S0462","Family",NA
"S0463","Workload",NA
"S0466","Workload",NA
"S0467","Supervision",NA
"S0468","Isolation",NA
"S0469","Workload","Workload"
"S0470","Health",NA
"S0471","Workload",NA
"S0472","Other","Other"
"S0473","Health","Health"
"S0474","Supervision",NA
"S0475","Health",NA
"S0476","Workload",NA
"S0477","Supervision","Supervision"
"S0478","Family","Family"
"S0479","Workload","Workload"
"S0480","Family",NA
"S0481","Workload","Workload"
"S0482","Health",NA
"S0483","Family",NA
"S0484","Finances",NA
"S0485","Finances",NA
"S0486","Supervision","Supervision"
"S0487","Health",NA
"S0488","Supervision",NA
"S0489","Health","Health"
"S0490","Supervision",NA
"S0491","Workload","Workload"
"S0492","Supervision","Supervision"
"S0493","Supervision","Supervision"
"S0494","Workload",NA
"S0495","Supervision","Supervision"
"S0496","Supervision",NA
"S0498","Workload",NA
"S0499","Isolation",NA
"S0500","Other","Other"
"S0501","Supervision","Supervision"
"S0502","Isolation",NA
"S0503","Workload",NA
"S0504","Workload","Workload"
"S0505","Family",NA
"S0507","Family",NA
"S0509","Finances","Finances"
"S0511","Supervision",NA
"S0512","Supervision",NA
"S0513","Isolation","Isolation"
"S0514","Workload",NA
"S0515","Supervision",NA
"S0516","Isolation","Isolation"
"S0517","Family",NA
"S0518","Supervision",NA
"S0520","Supervision",NA
"S0521","Finances",NA
"S0522","Supervision",NA
"S0523","Workload",NA
"S0524","Finances",NA
"S0525","Supervision",NA
"S0526","Finances","Finances"
"S0527","Supervision",NA
"S0529","Finances",NA
"S0531","Supervision",NA
"S0533","Supervision",NA
"S0536","Family",NA
"S0537","Health",NA
"S0538","Workload","Workload"
"S0541","Workload",NA
"S0542","Other",NA
"S0543","Finances",NA
"S0544","Supervision",NA
"S0545","Finances",NA
"S0546","Health",NA
"S0547","Isolation",NA
"S0549","Finances",NA
"S0550","Supervision","Supervision"
"S0551","Isolation","Isolation"
"S0553","Health","Health"
"S0554","Health",NA
"S0555","Supervision",NA
"S0556","Supervision",NA
"S0557","Supervision",NA
"S0558","Health","Health"
"S0559","Workload",NA
"S0560","Supervision",NA
"S0562","Other",NA
"S0563","Other","Other"
"S0564","Supervision","Supervision"
"S0565","Supervision","Supervision"
"S0566","Health","Health"
"S0567","Other","Other"
"S0568","Health",NA
"S0569","Health","Health"
"S0571","Supervision",NA
"S0572","Workload",NA
"S0573","Isolation","Isolation"
"S0574","Isolation",NA
"S0575","Workload",NA
"S0577","Workload",NA
"S0578","Family",NA
"S0579","Finances",NA
"S0580","Family","Family"
"S0581","Workload","Workload"
"S0582","Finances",NA
