Number of categories should be increased  in order to count frequencies. 
In smc, smcs > 1 were set to 1.0
In smc, smcs > 1 were set to 1.0
Number of categories should be increased  in order to count frequencies. 
In smc, smcs > 1 were set to 1.0
In smc, smcs > 1 were set to 1.0
Number of categories should be increased  in order to count frequencies. 
In smc, smcs > 1 were set to 1.0
In smc, smcs > 1 were set to 1.0
Number of categories should be increased  in order to count frequencies. 
In smc, smcs > 1 were set to 1.0
In smc, smcs > 1 were set to 1.0
 section check                                                   value                                  target                                     ok  
 Sizes   students                                                600.000                                600                                        TRUE
 Sizes   semester rows                                           2326.000                               about 2,330                                TRUE
 Sizes   supervisors                                             120.000                                120                                        TRUE
 Sizes   max students per supervisor                             12.000                                 1-12                                       TRUE
 Sizes   open responses                                          535.000                                about 540                                  TRUE
 Sizes   hand-coded responses                                    200.000                                200                                        TRUE
 Sizes   counselling weeks                                       260.000                                260                                        TRUE
 5.1     mean sleep (hours)                                      6.481                                  about 6.4                                  TRUE
 5.1     SD of sleep                                             1.013                                  about 1.0                                  TRUE
 5.1     caffeine skewness                                       1.599                                  strongly right-skewed (> 1)                TRUE
 5.1     share of zero caffeine                                  0.087                                  some zeros                                 TRUE
 5.1     age skewness                                            1.340                                  right-skewed                               TRUE
 5.1     r(stress, burnout)                                      0.647                                  about 0.6                                  TRUE
 5.1     r(stress, support)                                      -0.333                                 about -0.35                                TRUE
 5.1     students with extreme low sleep and high caffeine       14.000                                 a handful                                  TRUE
 5.2     one-sample t: mean sleep vs 7 (p)                       0.000                                  clearly below 7                            TRUE
 5.2     workshop: semester-2 wellbeing difference               5.250                                  about +5 points                            TRUE
 5.2     workshop: Cohen's d                                     0.447                                  about 0.45                                 TRUE
 5.2     workshop: two-sample t (p)                              0.000                                  p < .01                                    TRUE
 5.2     paired: invited group, semester 1 -> 2                  4.823                                  about +5 points                            TRUE
 5.2     paired t (p)                                            0.000                                  p < .001                                   TRUE
 5.2     Mann-Whitney: caffeine by gender (p)                    0.063                                  small difference (reported only)           TRUE
 5.2     dropout rate: full-time job                             0.258                                  about 25%                                  TRUE
 5.2     dropout rate: no job                                    0.137                                  about 12%                                  TRUE
 5.2     chi-square employment x dropout (p)                     0.004                                  p < .05                                    TRUE
 5.2     ANOVA stress ~ faculty (p)                              0.003                                  p < .05                                    TRUE
 5.2     ANOVA eta squared                                       0.027                                  small (about 0.03)                         TRUE
 5.2     Tukey: significant pairs                                Humanities-Health Sciences             only Health Sciences vs Humanities         TRUE
 5.2     two-way: study mode (p)                                 0.001                                  p < .05                                    TRUE
 5.2     two-way: interaction (p)                                0.360                                  no interaction (p > .05)                   TRUE
 5.2     null: GPA by gender (p)                                 0.632                                  no difference (p > .05)                    TRUE
 5.3     GPA ~ sleep: coefficient                                0.106                                  about +0.10 per hour                       TRUE
