"week_start","visits"
2020-09-07,32
2020-09-14,28
2020-09-21,24
2020-09-28,37
2020-10-05,32
2020-10-12,39
2020-10-19,31
2020-10-26,36
2020-11-02,37
2020-11-09,34
2020-11-16,33
2020-11-23,26
2020-11-30,41
2020-12-07,31
2020-12-14,40
2020-12-21,59
2020-12-28,63
2021-01-04,53
2021-01-11,37
2021-01-18,22
2021-01-25,34
2021-02-01,27
2021-02-08,37
2021-02-15,38
2021-02-22,30
2021-03-01,43
2021-03-08,32
2021-03-15,28
2021-03-22,26
2021-03-29,23
2021-04-05,32
2021-04-12,41
2021-04-19,29
2021-04-26,44
2021-05-03,32
2021-05-10,35
2021-05-17,68
2021-05-24,49
2021-05-31,49
2021-06-07,46
2021-06-14,13
2021-06-21,9
2021-06-28,6
2021-07-05,7
2021-07-12,9
2021-07-19,6
2021-07-26,19
2021-08-02,10
2021-08-09,9
2021-08-16,8
2021-08-23,10
2021-08-30,12
2021-09-06,31
2021-09-13,31
2021-09-20,46
2021-09-27,30
2021-10-04,33
2021-10-11,36
2021-10-18,34
2021-10-25,43
2021-11-01,43
2021-11-08,35
2021-11-15,40
2021-11-22,46
2021-11-29,44
2021-12-06,34
2021-12-13,38
2021-12-20,50
2021-12-27,56
2022-01-03,52
2022-01-10,46
2022-01-17,15
2022-01-24,40
2022-01-31,44
2022-02-07,47
2022-02-14,44
2022-02-21,47
2022-02-28,44
2022-03-07,35
2022-03-14,41
2022-03-21,21
2022-03-28,42
2022-04-04,28
2022-04-11,41
2022-04-18,39
2022-04-25,48
2022-05-02,31
2022-05-09,51
2022-05-16,62
2022-05-23,58
2022-05-30,58
2022-06-06,44
2022-06-13,12
2022-06-20,9
2022-06-27,12
2022-07-04,9
2022-07-11,3
2022-07-18,5
2022-07-25,7
2022-08-01,8
2022-08-08,10
2022-08-15,9
2022-08-22,4
2022-08-29,4
2022-09-05,20
2022-09-12,27
2022-09-19,42
2022-09-26,48
2022-10-03,39
2022-10-10,39
2022-10-17,51
2022-10-24,46
2022-10-31,41
2022-11-07,38
2022-11-14,53
2022-11-21,44
2022-11-28,47
2022-12-05,40
2022-12-12,27
2022-12-19,53
2022-12-26,48
2023-01-02,61
2023-01-09,59
2023-01-16,21
2023-01-23,34
2023-01-30,33
2023-02-06,41
2023-02-13,35
2023-02-20,37
2023-02-27,54
2023-03-06,45
2023-03-13,40
2023-03-20,32
2023-03-27,32
2023-04-03,39
2023-04-10,52
2023-04-17,40
2023-04-24,39
2023-05-01,40
2023-05-08,32
2023-05-15,60
2023-05-22,53
2023-05-29,47
2023-06-05,51
2023-06-12,12
2023-06-19,12
2023-06-26,11
2023-07-03,12
2023-07-10,10
2023-07-17,16
2023-07-24,8
2023-07-31,6
2023-08-07,9
2023-08-14,6
2023-08-21,9
2023-08-28,7
2023-09-04,34
2023-09-11,32
2023-09-18,40
2023-09-25,49
2023-10-02,38
2023-10-09,38
2023-10-16,40
2023-10-23,71
2023-10-30,35
2023-11-06,38
2023-11-13,35
2023-11-20,43
2023-11-27,48
2023-12-04,40
2023-12-11,29
2023-12-18,69
2023-12-25,50
2024-01-01,55
2024-01-08,53
2024-01-15,27
2024-01-22,47
2024-01-29,37
2024-02-05,45
2024-02-12,59
2024-02-19,33
2024-02-26,47
2024-03-04,35
2024-03-11,42
2024-03-18,21
2024-03-25,43
2024-04-01,48
2024-04-08,48
2024-04-15,38
2024-04-22,57
2024-04-29,41
2024-05-06,43
2024-05-13,51
2024-05-20,59
2024-05-27,48
2024-06-03,64
2024-06-10,10
2024-06-17,9
2024-06-24,18
2024-07-01,15
2024-07-08,11
2024-07-15,12
2024-07-22,7
2024-07-29,17
2024-08-05,15
2024-08-12,11
2024-08-19,10
2024-08-26,17
2024-09-02,22
2024-09-09,21
2024-09-16,42
2024-09-23,38
2024-09-30,44
2024-10-07,43
2024-10-14,44
2024-10-21,40
2024-10-28,48
2024-11-04,43
2024-11-11,48
2024-11-18,46
2024-11-25,32
2024-12-02,46
2024-12-09,45
2024-12-16,63
2024-12-23,60
2024-12-30,58
2025-01-06,57
2025-01-13,24
2025-01-20,48
2025-01-27,37
2025-02-03,42
2025-02-10,46
2025-02-17,41
2025-02-24,44
2025-03-03,52
2025-03-10,47
2025-03-17,20
2025-03-24,45
2025-03-31,51
2025-04-07,46
2025-04-14,42
2025-04-21,65
2025-04-28,34
2025-05-05,38
2025-05-12,75
2025-05-19,69
2025-05-26,61
2025-06-02,59
2025-06-09,8
2025-06-16,10
2025-06-23,16
2025-06-30,9
2025-07-07,5
2025-07-14,16
2025-07-21,12
2025-07-28,10
2025-08-04,9
2025-08-11,13
2025-08-18,6
2025-08-25,14
