"supervisor_id","faculty","rank","n_students"
"SUP001","Social Sciences","Lecturer",3
"SUP002","Education","Professor",4
"SUP003","Health Sciences","Assistant Professor",6
"SUP004","Education","Professor",5
"SUP005","Education","Assistant Professor",12
"SUP006","Natural Sciences","Lecturer",3
"SUP007","Natural Sciences","Lecturer",2
"SUP008","Social Sciences","Lecturer",5
"SUP009","Education","Lecturer",7
"SUP010","Natural Sciences","Assistant Professor",1
"SUP011","Education","Professor",4
"SUP012","Education","Lecturer",5
"SUP013","Social Sciences","Lecturer",7
"SUP014","Education","Lecturer",12
"SUP015","Social Sciences","Assistant Professor",6
"SUP016","Humanities","Professor",5
"SUP017","Health Sciences","Assistant Professor",8
"SUP018","Natural Sciences","Lecturer",2
"SUP019","Health Sciences","Professor",2
"SUP020","Education","Assistant Professor",3
"SUP021","Health Sciences","Assistant Professor",12
"SUP022","Education","Lecturer",1
"SUP023","Social Sciences","Lecturer",3
"SUP024","Social Sciences","Professor",1
"SUP025","Humanities","Lecturer",7
"SUP026","Humanities","Assistant Professor",4
"SUP027","Health Sciences","Assistant Professor",2
"SUP028","Humanities","Lecturer",4
"SUP029","Social Sciences","Assistant Professor",11
"SUP030","Humanities","Assistant Professor",4
"SUP031","Health Sciences","Professor",4
"SUP032","Natural Sciences","Lecturer",3
"SUP033","Natural Sciences","Assistant Professor",1
"SUP034","Health Sciences","Lecturer",6
"SUP035","Education","Lecturer",5
"SUP036","Education","Professor",2
"SUP037","Health Sciences","Professor",8
"SUP038","Health Sciences","Professor",7
"SUP039","Health Sciences","Lecturer",1
"SUP040","Education","Assistant Professor",3
"SUP041","Natural Sciences","Lecturer",4
"SUP042","Humanities","Assistant Professor",4
"SUP043","Natural Sciences","Lecturer",7
"SUP044","Natural Sciences","Assistant Professor",4
"SUP045","Natural Sciences","Assistant Professor",3
"SUP046","Education","Professor",8
"SUP047","Social Sciences","Assistant Professor",2
"SUP048","Humanities","Lecturer",9
"SUP049","Humanities","Lecturer",12
"SUP050","Humanities","Lecturer",1
"SUP051","Humanities","Professor",7
"SUP052","Natural Sciences","Assistant Professor",3
"SUP053","Natural Sciences","Professor",5
"SUP054","Health Sciences","Assistant Professor",3
"SUP055","Education","Professor",4
"SUP056","Social Sciences","Lecturer",12
"SUP057","Education","Lecturer",4
"SUP058","Social Sciences","Assistant Professor",4
"SUP059","Education","Assistant Professor",4
"SUP060","Natural Sciences","Lecturer",3
"SUP061","Social Sciences","Lecturer",3
"SUP062","Education","Assistant Professor",8
"SUP063","Health Sciences","Professor",8
"SUP064","Education","Assistant Professor",12
"SUP065","Social Sciences","Assistant Professor",4
"SUP066","Humanities","Assistant Professor",3
"SUP067","Humanities","Lecturer",4
"SUP068","Health Sciences","Lecturer",5
"SUP069","Education","Assistant Professor",2
"SUP070","Education","Lecturer",2
"SUP071","Natural Sciences","Lecturer",11
"SUP072","Health Sciences","Assistant Professor",1
"SUP073","Social Sciences","Assistant Professor",7
"SUP074","Health Sciences","Professor",2
"SUP075","Health Sciences","Lecturer",4
"SUP076","Humanities","Assistant Professor",5
"SUP077","Health Sciences","Assistant Professor",11
"SUP078","Education","Lecturer",7
"SUP079","Social Sciences","Assistant Professor",5
"SUP080","Education","Assistant Professor",3
"SUP081","Humanities","Lecturer",7
"SUP082","Education","Professor",4
"SUP083","Natural Sciences","Lecturer",5
"SUP084","Social Sciences","Lecturer",2
"SUP085","Humanities","Lecturer",6
"SUP086","Natural Sciences","Assistant Professor",6
"SUP087","Health Sciences","Assistant Professor",12
"SUP088","Health Sciences","Lecturer",7
"SUP089","Health Sciences","Assistant Professor",5
"SUP090","Health Sciences","Lecturer",5
"SUP091","Education","Assistant Professor",8
"SUP092","Education","Lecturer",3
"SUP093","Natural Sciences","Professor",1
"SUP094","Humanities","Assistant Professor",5
"SUP095","Social Sciences","Lecturer",5
"SUP096","Social Sciences","Professor",8
"SUP097","Education","Assistant Professor",4
"SUP098","Health Sciences","Assistant Professor",8
"SUP099","Natural Sciences","Lecturer",2
"SUP100","Health Sciences","Assistant Professor",8
"SUP101","Humanities","Assistant Professor",3
"SUP102","Natural Sciences","Assistant Professor",12
"SUP103","Humanities","Assistant Professor",3
"SUP104","Education","Lecturer",3
"SUP105","Social Sciences","Lecturer",4
"SUP106","Natural Sciences","Assistant Professor",2
"SUP107","Social Sciences","Assistant Professor",4
"SUP108","Humanities","Lecturer",2
"SUP109","Social Sciences","Lecturer",1
"SUP110","Health Sciences","Professor",5
"SUP111","Social Sciences","Assistant Professor",5
"SUP112","Health Sciences","Lecturer",10
"SUP113","Education","Lecturer",3
"SUP114","Natural Sciences","Assistant Professor",2
"SUP115","Social Sciences","Assistant Professor",3
"SUP116","Education","Professor",6
"SUP117","Natural Sciences","Lecturer",5
"SUP118","Social Sciences","Professor",4
"SUP119","Social Sciences","Professor",7
"SUP120","Health Sciences","Professor",4
