"student_id","stress_1","stress_2","stress_3","stress_4","stress_5","stress_6","burnout_1","burnout_2","burnout_3","burnout_4","burnout_5","burnout_6","support_1","support_2","support_3","support_4","support_5","support_6","satisfaction_1","satisfaction_2","satisfaction_3","satisfaction_4"
"S0001",3,2,4,4,3,5,3,2,2,3,3,3,2,2,2,3,1,2,2,2,3,2
"S0002",4,3,,2,5,3,2,3,3,5,3,3,1,2,2,2,2,2,1,2,3,3
"S0003",4,4,2,1,4,3,3,3,4,4,4,3,2,2,1,3,3,2,3,3,4,4
"S0004",4,5,5,1,4,5,5,5,4,4,5,5,4,5,3,4,2,4,3,2,3,3
"S0005",4,4,4,3,4,2,2,2,3,3,4,2,2,2,5,3,3,4,5,4,5,5
"S0006",3,,3,2,2,3,3,5,3,4,4,4,2,3,3,2,1,4,2,2,2,4
"S0007",4,1,3,3,2,3,2,3,2,1,4,3,3,2,4,2,3,3,4,5,4,4
"S0008",3,3,4,,5,2,2,2,3,4,5,5,3,1,3,3,3,3,2,4,4,4
"S0009",4,4,4,3,3,5,3,4,2,3,4,4,3,1,4,3,3,3,4,3,4,
"S0010",2,1,2,3,2,3,3,2,1,2,2,3,5,5,5,4,4,5,4,4,4,5
"S0011",,3,5,2,4,2,3,4,4,,3,2,2,2,2,2,1,1,2,3,3,4
"S0012",4,3,3,4,,3,3,3,3,3,3,3,3,3,5,3,4,3,4,3,4,3
"S0013",5,3,4,2,4,4,4,3,3,3,5,3,3,3,3,2,2,1,2,1,2,3
"S0014",4,4,4,4,3,3,,4,,5,4,4,4,3,4,4,3,3,4,3,2,3
"S0015",4,5,5,1,4,4,4,3,4,3,5,4,1,2,3,1,1,2,3,3,3,3
"S0016",4,2,4,3,2,4,3,4,3,3,4,,4,4,3,3,3,4,2,2,4,3
"S0017",4,4,4,2,4,2,3,3,4,3,4,3,3,3,3,2,3,2,5,3,5,4
"S0018",4,3,4,3,3,5,2,3,3,3,5,4,3,2,3,2,3,3,1,2,3,2
"S0019",5,3,4,2,4,4,3,3,4,4,4,3,2,2,2,2,3,2,4,3,3,3
