"student_id","semester","gpa","sleep_hours","study_hours","exercise_days","caffeine_mg","supervisor_meetings","wellbeing"
"S0001",1,3.02,7.2,26,5,130,0,74
"S0001",2,3.27,8.4,17,3,80,1,69
"S0001",3,3.17,7.8,25,7,105,3,71
"S0001",4,3,7.2,28,4,145,2,74
"S0002",1,3.25,6.4,32,2,210,3,60
"S0002",2,2.88,7,28,1,185,2,51
"S0002",3,3.13,6.7,30,2,175,0,51
"S0002",4,3.22,6.4,27,3,230,1,54
"S0003",1,3.39,7,23,6,0,2,66
"S0003",2,3.36,6.8,27,6,0,3,71
"S0003",3,3.45,7.1,26,2,0,6,69
"S0003",4,3.61,7.7,32,5,0,5,66
"S0004",1,2.58,5.3,39,2,325,4,46
"S0004",2,3.01,6.2,39,1,215,3,62
"S0005",1,2.68,6.8,17,3,130,2,58
"S0005",2,2.83,7.8,28,3,85,2,55
"S0005",3,3.1,7.5,20,1,105,4,58
"S0005",4,2.79,7.6,14,2,135,4,59
"S0006",1,2.84,5.9,17,2,165,10,57
"S0006",2,2.47,6.4,14,0,150,7,63
"S0006",3,3.1,5.9,,2,200,7,56
"S0006",4,2.56,5.8,,3,185,2,54
"S0007",1,2.88,6.2,28,1,85,4,76
"S0007",2,3.01,6,27,1,115,3,77
"S0007",3,2.63,6,34,4,90,4,67
"S0007",4,2.84,5.7,25,2,95,5,58
"S0008",1,3.13,,35,1,365,5,53
"S0008",2,3,5.9,38,3,425,6,61
"S0008",3,2.82,5.3,41,0,390,2,53
"S0008",4,3.25,5.9,43,0,355,8,64
"S0009",1,2.77,5.8,24,2,155,5,74
"S0009",2,2.76,5.2,14,7,185,3,59
"S0009",3,2.84,6.1,19,1,175,4,66
"S0009",4,3.12,5.5,19,3,195,1,66
"S0010",1,3.04,7.1,26,3,165,14,73
"S0010",2,2.9,5.8,23,3,275,6,73
"S0010",3,3.12,6,24,2,235,15,62
"S0010",4,3.03,7.1,33,4,225,8,78
"S0011",1,2.59,7.3,11,1,165,1,63
"S0011",2,2.22,6.6,14,1,135,3,57
"S0011",3,2.35,6.9,16,0,120,0,52
"S0011",4,2.2,6.7,14,3,155,3,47
"S0012",1,3.06,5.3,48,0,320,4,51
"S0012",2,2.97,5.8,44,1,245,3,72
"S0012",3,3.07,6,52,1,245,5,62
"S0012",4,2.94,5,42,3,255,7,63
"S0013",1,2.43,6,35,1,115,2,56
"S0013",2,2.54,6.7,34,3,85,0,57
"S0013",3,2.29,6.4,30,2,110,1,62
"S0013",4,2.58,6.2,34,1,65,2,67
"S0014",1,2.8,6.1,4,1,85,3,48
"S0014",2,3.02,6.6,7,5,90,2,60
"S0014",3,2.77,7.4,2,4,105,1,63
"S0014",4,3.03,6.7,,4,110,4,64
"S0015",1,2.8,6.5,15,2,210,2,34
"S0015",2,3.2,6.5,18,0,275,5,38
"S0016",1,2.91,5.5,39,0,275,6,66
"S0016",2,3.25,5.8,40,2,320,7,63
"S0016",3,2.87,6,33,1,375,7,57
"S0016",4,2.98,5.4,39,3,415,0,60
"S0017",1,2.71,5.8,48,2,220,5,60
"S0017",2,2.95,5.1,37,2,260,3,51
"S0017",3,2.94,5,38,1,,2,57
"S0017",4,2.81,6,33,2,225,0,50
"S0018",1,3.02,7.3,12,2,105,6,63
"S0018",2,3.21,6.9,9,2,105,0,67
"S0018",3,2.97,6.4,8,3,135,3,49
"S0018",4,3.14,6.7,8,4,120,10,53
"S0019",1,3.14,6.7,25,5,0,0,70
"S0019",2,2.82,6.2,24,3,0,1,63
"S0019",3,2.66,6.1,20,2,0,2,61
"S0019",4,2.8,6.7,21,1,0,0,65
"S0020",1,3.48,7.2,41,0,0,7,63
"S0020",2,3.18,7.2,41,0,0,15,67
"S0020",3,3.4,7.2,40,1,0,14,72
"S0020",4,3.25,6.4,37,1,0,12,60
"S0021",1,3.51,7,35,1,0,5,59
"S0021",2,3.04,6,37,0,0,2,55
"S0021",3,3.19,6,34,0,0,2,51
"S0021",4,3.11,6.3,41,0,0,2,63
"S0022",1,2.84,5,39,,335,4,37
"S0022",2,3.18,5.7,46,1,325,4,39
"S0022",3,3.08,6.6,50,0,335,4,37
"S0022",4,3.07,,48,3,435,3,43
"S0023",1,3.12,6,45,2,275,3,77
"S0023",2,2.83,6.9,47,1,275,8,86
"S0023",3,3.11,6.3,47,2,265,6,75
"S0023",4,3.08,5.9,39,1,250,4,78
"S0024",1,3.35,7.6,26,5,0,7,76
"S0024",2,2.95,7.3,30,4,0,6,93
"S0024",3,3.26,7.1,26,2,0,7,86
"S0024",4,3.47,7.5,30,5,0,5,79
"S0025",1,2.83,6.8,14,2,190,6,63
"S0025",2,2.36,7.2,14,3,170,1,70
"S0025",3,2.44,7.2,11,1,195,6,70
"S0025",4,2.3,7.9,11,2,125,3,59
"S0026",1,2.33,6.2,20,0,135,3,55
"S0026",2,2.73,6.5,25,,100,3,59
"S0026",3,2.52,7,23,1,110,4,74
"S0026",4,2.73,6.3,18,0,130,6,58
"S0027",1,3.21,6.4,51,0,165,2,49
"S0027",2,2.8,5.4,52,0,290,3,55
"S0027",3,3.06,7.1,50,5,205,3,54
"S0027",4,2.91,5.9,44,5,220,0,55
"S0028",1,3.52,7.1,20,2,215,2,61
"S0028",2,3.26,7,24,1,225,6,60
"S0028",3,3.25,6.4,19,0,315,6,62
"S0028",4,3.47,7.4,29,1,150,9,58
"S0029",1,2.78,6.3,23,3,0,1,46
"S0029",2,2.84,6.2,23,3,0,2,57
"S0029",3,2.75,6.2,21,2,0,1,49
"S0029",4,2.52,6,20,3,0,1,49
"S0030",1,2.55,6.6,18,1,240,6,57
"S0030",2,2.88,7.6,12,1,205,4,73
"S0030",3,2.8,6.6,25,4,210,4,66
"S0030",4,2.91,7,18,2,230,3,60
"S0031",1,2.89,6.7,23,1,95,1,52
"S0031",2,2.84,6.4,23,0,110,2,56
"S0031",3,3.13,6.5,30,3,105,1,44
"S0031",4,2.79,6.8,36,0,125,2,44
"S0032",1,3.29,7.4,23,0,115,6,79
"S0032",2,3.49,6.8,22,0,90,5,80
"S0032",3,3.42,7.1,30,4,75,8,80
"S0032",4,3.69,7.1,32,4,60,3,84
"S0033",1,2.79,4.6,41,2,0,10,50
"S0033",2,2.67,4.5,46,2,0,5,51
"S0033",3,2.85,4.8,46,2,0,12,55
"S0033",4,2.51,5.5,40,0,0,5,48
"S0034",1,2.91,6.4,18,4,175,4,79
"S0034",2,3.48,7.6,19,4,150,3,92
"S0034",3,2.65,6.6,8,2,185,4,77
"S0034",4,2.85,6.3,11,3,190,6,87
"S0035",1,2.88,5.2,41,1,285,5,51
"S0035",2,2.93,5.6,32,0,,2,49
"S0035",3,3.03,5.7,42,0,170,2,42
"S0035",4,2.77,5.8,38,1,125,3,42
"S0036",1,3.18,5,41,2,265,4,70
"S0036",2,3.22,4.9,41,0,320,4,70
"S0036",3,2.95,5.5,43,2,160,5,58
"S0036",4,3.07,4.1,39,2,235,4,60
"S0037",1,2.93,7.4,18,3,120,2,68
"S0037",2,3,6.5,16,7,75,4,59
"S0037",3,3.26,7,20,5,105,6,65
"S0037",4,3.02,7.4,14,5,90,7,64
"S0038",1,2.69,5.8,17,2,130,4,45
"S0038",2,2.55,6,20,1,140,1,44
"S0039",1,3.1,8,29,2,0,0,75
"S0039",2,3.24,7.7,29,4,0,8,71
"S0039",3,3.47,7.6,34,3,0,3,71
"S0039",4,3.41,8.4,26,0,0,3,55
"S0040",1,2.88,4.7,35,1,485,4,45
"S0040",2,2.57,4.9,34,3,410,4,54
"S0040",3,2.52,4.6,36,0,375,3,55
"S0040",4,2.99,5.9,36,0,365,4,56
"S0041",1,2.57,6.3,17,2,240,6,65
"S0041",2,2.83,6.7,20,2,275,5,81
"S0041",3,2.85,7.6,22,2,175,6,71
"S0041",4,2.96,7.2,19,1,230,6,76
"S0042",1,2.65,5.4,25,1,210,5,45
"S0042",2,2.43,5.5,25,1,205,2,55
"S0042",3,2.23,5.9,23,0,155,1,44
"S0042",4,2.45,6.8,22,2,120,3,48
"S0043",1,3.56,6.4,32,4,175,4,48
"S0043",2,3.59,8,29,4,120,8,69
"S0044",1,3.35,6.9,26,5,150,0,73
"S0044",2,3.22,6.9,24,7,170,3,70
"S0044",3,3.25,6.3,23,4,175,2,59
"S0044",4,3.08,6.4,25,7,210,4,69
"S0045",1,3.37,6.8,14,1,240,0,61
"S0045",2,3.08,6.7,12,1,185,3,68
"S0045",3,3.22,6.1,19,2,220,2,60
"S0045",4,3.15,6.8,17,2,225,8,63
"S0046",1,3.47,6.4,23,1,75,2,75
"S0046",2,3.06,5.9,22,2,90,0,78
"S0046",3,3.15,7,20,2,140,4,80
"S0046",4,3.05,6.2,23,3,80,1,67
"S0047",1,2.58,8.3,2,1,195,1,68
"S0047",2,3.15,7,8,4,165,3,64
"S0047",3,3.14,6.9,11,0,85,2,68
"S0047",4,3.09,7.2,6,0,110,2,62
"S0048",1,3.15,5.3,42,1,300,12,58
"S0048",2,2.89,5.8,54,2,425,14,47
"S0048",3,2.84,5.2,51,1,430,7,51
