"student_id","supervisor_id","age","gender","faculty","programme","study_mode","employment","has_children","lives_away","financial_worry","workshop","workshop_sessions","considering_dropout"
"S0001","SUP088",31,"Female","Health Sciences","Master's","Full-time","None","No","Yes",2,"Not invited",0,"No"
"S0002","SUP116",28,"Female","Education","PhD","Full-time","Part-time job","No","Yes",2,"Invited",0,"No"
"S0003","SUP040",33,"Male","Education","PhD","Full-time","None","No","No",4,"Invited",5,"No"
"S0004","SUP112",34,"Female","Health Sciences","Master's","Part-time","Full-time job","No","No",2,"Invited",6,"No"
"S0005","SUP118",35,"Female","Social Sciences","Master's","Part-time","None","No","No",2,"Invited",2,"No"
"S0006","SUP028",36,"Male","Humanities","PhD","Full-time","Part-time job","No","Yes",5,"Not invited",0,"No"
"S0007","SUP068",,"Female","Health Sciences","Master's","Full-time","None","No","Yes",3,"Invited",4,"No"
"S0008","SUP045",25,"Female","Natural Sciences","Master's","Part-time","Part-time job","No","No",,"Not invited",0,"No"
"S0009","SUP086",29,"Male","Natural Sciences","Master's","Part-time","Full-time job","Yes","No",2,"Not invited",0,"No"
"S0010","SUP103",26,"Male","Humanities","Master's","Full-time","Part-time job","No","Yes",2,"Invited",0,"No"
"S0011","SUP043",25,"Female","Natural Sciences","Master's","Full-time","Part-time job","No","No",,"Invited",0,"Yes"
"S0012","SUP102",30,"Male","Natural Sciences","Master's","Full-time","Part-time job","Yes","No",,"Invited",6,"No"
"S0013","SUP055",25,"Female","Education","Master's","Full-time","None","No","No",2,"Not invited",0,"No"
"S0014","SUP096",35,"Male","Social Sciences","PhD","Part-time","Part-time job","Yes","No",3,"Invited",5,"No"
"S0015","SUP087",30,"Male","Health Sciences","Master's","Full-time","Part-time job","No","No",3,"Not invited",0,"Yes"
"S0016","SUP029",28,"Male","Social Sciences","Master's","Full-time","None","No","No",3,"Not invited",0,"No"
"S0017","SUP073",29,"Female","Social Sciences","Master's","Full-time","None","No","No",3,"Not invited",0,"Yes"
"S0018","SUP042",29,"Male","Humanities","PhD","Part-time","Full-time job","No","No",2,"Invited",0,"Yes"
"S0019","SUP060",31,"Female","Natural Sciences","Master's","Full-time","None","No","Yes",3,"Invited",5,"No"
"S0020","SUP014",35,"Male","Education","PhD","Full-time","None","Yes","Yes",5,"Not invited",0,"No"
"S0021","SUP112",25,"Female","Health Sciences","Master's","Full-time","None","No","No",2,"Invited",5,"No"
"S0022","SUP009",27,"Male","Education","Master's","Full-time","None","No","Yes",5,"Not invited",0,"No"
"S0023","SUP014",25,"Male","Education","Master's","Full-time","None","No","Yes",1,"Invited",6,"No"
"S0024","SUP056",26,"Female","Social Sciences","Master's","Full-time","None","No","No",2,"Invited",5,"No"
"S0025","SUP025",27,"Female","Humanities","Master's","Full-time","None","No","No",2,"Not invited",0,"No"
"S0026","SUP076",39,"Male","Humanities","PhD","Full-time","None","No","No",2,"Invited",5,"No"
"S0027","SUP100",31,"Female","Health Sciences","PhD","Full-time","Full-time job","No","Yes",4,"Not invited",0,"No"
"S0028","SUP098",29,"Male","Health Sciences","Master's","Full-time","None","No","No",1,"Not invited",0,"No"
"S0029","SUP049",27,"Male","Humanities","Master's","Full-time","None","No","Yes",3,"Not invited",0,"No"
"S0030","SUP017",52,"Female","Health Sciences","PhD","Part-time","Full-time job","Yes","No",2,"Invited",2,"No"
"S0031","SUP051",36,"Female","Humanities","Master's","Part-time","Full-time job","No","Yes",2,"Invited",5,"Yes"
"S0032","SUP002",29,"Female","Education","Master's","Full-time","None","No","Yes",4,"Not invited",0,"No"
"S0033","SUP021",29,"Male","Health Sciences","Master's","Full-time","None","Yes","No",1,"Invited",1,"No"
"S0034","SUP002",34,"Male","Education","PhD","Part-time","Full-time job","No","No",1,"Invited",5,"No"
"S0035","SUP012",24,"Female","Education","Master's","Part-time","Part-time job","No","No",2,"Invited",0,"No"
"S0036","SUP042",26,"Male","Humanities","Master's","Full-time","Part-time job","No","No",2,"Not invited",0,"No"
"S0037","SUP006",34,"Male","Natural Sciences","PhD","Full-time","None","Yes","No",3,"Not invited",0,"No"
"S0038","SUP077",38,"Female","Health Sciences","PhD","Full-time","Part-time job","No","Yes",5,"Not invited",0,"Yes"
"S0039","SUP043",27,"Female","Natural Sciences","Master's","Full-time","Part-time job","Yes","Yes",3,"Invited",3,"No"
"S0040","SUP067",37,"Female","Humanities","PhD","Part-time","Full-time job","No","No",1,"Not invited",0,"No"
"S0041","SUP053",28,"Male","Natural Sciences","Master's","Full-time","None","No","No",1,"Invited",5,"No"
"S0042","SUP020",29,"Female","Education","PhD","Full-time","None","No","No",1,"Not invited",0,"No"
"S0043","SUP096",29,"Female","Social Sciences","Master's","Part-time","Part-time job","No","Yes",2,"Invited",5,"No"
"S0044","SUP044",35,"Female","Natural Sciences","PhD","Full-time","None","Yes","Yes",3,"Invited",3,"No"
"S0045","SUP062",25,"Male","Education","Master's","Full-time","Part-time job","Yes","No",5,"Invited",5,"No"
"S0046","SUP095",28,"Female","Social Sciences","Master's","Full-time","None","No","No",3,"Invited",2,"No"
"S0047","SUP064",26,"Female","Education","Master's","Full-time","None","Yes","No",3,"Invited",2,"No"
"S0048","SUP074",33,"Female","Health Sciences","PhD","Part-time","Full-time job","No","No",3,"Not invited",0,"No"
"S0049","SUP076",31,"Female","Humanities","PhD","Part-time","Part-time job","No","Yes",3,"Not invited",0,"No"
"S0050","SUP003",25,"Female","Health Sciences","Master's","Full-time","None","No","No",1,"Not invited",0,"No"
"S0051","SUP046",29,"Male","Education","Master's","Part-time","Full-time job","No","Yes",3,"Not invited",0,"Yes"
"S0052","SUP112",24,"Male","Health Sciences","Master's","Part-time","Part-time job","No","No",2,"Not invited",0,"No"
"S0053","SUP091",34,"Female","Education","Master's","Part-time","Full-time job","No","No",2,"Not invited",0,"No"
"S0054","SUP088",28,"Male","Health Sciences","PhD","Full-time","Full-time job","No","No",3,"Not invited",0,"No"
"S0055","SUP034",31,"Female","Health Sciences","Master's","Part-time","Full-time job","Yes","Yes",4,"Invited",6,"No"
"S0056","SUP041",31,"Male","Natural Sciences","Master's","Full-time","Part-time job","No","Yes",5,"Invited",0,"Yes"
"S0057","SUP056",27,"Female","Social Sciences","Master's","Full-time","Part-time job","No","Yes",3,"Not invited",0,"No"
"S0058","SUP025",27,"Male","Humanities","Master's","Full-time","None","No","Yes",4,"Invited",0,"No"
"S0059","SUP085",29,"Female","Humanities","Master's","Part-time","None","No","Yes",2,"Not invited",0,"No"
"S0060","SUP049",29,"Male","Humanities","Master's","Full-time","Part-time job","Yes","No",1,"Invited",5,"Yes"
"S0061","SUP118",34,"Female","Social Sciences","Master's","Full-time","Part-time job","No","No",3,"Invited",6,"No"
"S0062","SUP087",27,"Male","Health Sciences","Master's","Full-time","None","No","No",2,"Invited",6,"Yes"
"S0063","SUP043",32,"Male","Natural Sciences","Master's","Part-time","Full-time job","No","No",2,"Not invited",0,"No"
"S0064","SUP031",27,"Male","Health Sciences","Master's","Part-time","Full-time job","Yes","Yes",4,"Not invited",0,"Yes"
"S0065","SUP051",26,"Male","Humanities","Master's","Full-time","Part-time job","No","Yes",5,"Not invited",0,"No"
"S0066","SUP100",27,"Male","Health Sciences","Master's","Full-time","None","No","Yes",2,"Invited",1,"No"
"S0067","SUP008",49,"Male","Social Sciences","PhD","Part-time","Full-time job","Yes","No",4,"Invited",5,"No"
"S0068","SUP049",32,"Female","Humanities","PhD","Full-time","Part-time job","No","No",1,"Invited",6,"No"
"S0069","SUP035",30,"Female","Education","PhD","Full-time","None","No","Yes",5,"Not invited",0,"No"
"S0070","SUP087",24,"Male","Health Sciences","Master's","Full-time","Part-time job","Yes","No",2,"Invited",0,"No"
"S0071","SUP066",29,"Male","Humanities","PhD","Full-time","None","Yes","No",4,"Invited",4,"No"
"S0072","SUP020",27,"Male","Education","Master's","Full-time","Part-time job","No","No",5,"Not invited",0,"Yes"
"S0073","SUP077",26,"Female","Health Sciences","Master's","Full-time","Part-time job","No","Yes",2,"Invited",6,"No"
"S0074","SUP031",36,"Female","Health Sciences","PhD","Full-time","None","Yes","No",3,"Invited",0,"No"
"S0075","SUP010",25,"Female","Natural Sciences","Master's","Full-time","None","No","No",2,"Not invited",0,"No"
"S0076","SUP102",34,"Male","Natural Sciences","PhD","Full-time","None","Yes","No",3,"Not invited",0,"No"
"S0077","SUP005",30,"Male","Education","Master's","Part-time","Full-time job","No","Yes",3,"Invited",5,"No"
"S0078","SUP102",31,"Male","Natural Sciences","PhD","Full-time","None","No","No",3,"Not invited",0,"No"
"S0079","SUP005",28,"Female","Education","Master's","Full-time","None","No","No",2,"Not invited",0,"No"
"S0080","SUP047",28,"Female","Social Sciences","Master's","Full-time","Part-time job","No","No",2,"Not invited",0,"No"
"S0081","SUP037",41,"Female","Health Sciences","PhD","Part-time","None","Yes","Yes",5,"Not invited",0,"No"
"S0082","SUP092",28,"Male","Education","Master's","Full-time","Part-time job","No","Yes",2,"Invited",0,"No"
"S0083","SUP025",24,"Female","Humanities","Master's","Full-time","Full-time job","No","Yes",3,"Not invited",0,"Yes"
"S0084","SUP085",30,"Female","Humanities","PhD","Full-time","None","No","Yes",3,"Invited",4,"No"
"S0085","SUP087",31,"Male","Health Sciences","Master's","Full-time","None","Yes","No",5,"Invited",4,"No"
"S0086","SUP004",42,"Male","Education","PhD","Full-time","None","Yes","No",5,"Not invited",0,"No"
"S0087","SUP077",27,"Female","Health Sciences","Master's","Full-time","None","No","No",1,"Not invited",0,"No"
"S0088","SUP012",26,"Female","Education","Master's","Full-time","Part-time job","No","Yes",2,"Invited",6,"No"
"S0089","SUP042",27,"Male","Humanities","Master's","Full-time","None","No","No",3,"Not invited",0,"Yes"
"S0090","SUP009",37,"Female","Education","PhD","Full-time","None","No","Yes",,"Not invited",0,"No"
"S0091","SUP082",32,"Male","Education","Master's","Full-time","None","Yes","No",3,"Not invited",0,"No"
"S0092","SUP022",36,"Male","Education","Master's","Full-time","None","No","No",3,"Not invited",0,"No"
"S0093","SUP085",26,"Male","Humanities","Master's","Full-time","Part-time job","No","Yes",5,"Not invited",0,"No"
"S0094","SUP057",35,"Female","Education","PhD","Part-time","Full-time job","No","No",2,"Invited",2,"No"
"S0095","SUP037",39,"Male","Health Sciences","PhD","Full-time","None","No","Yes",1,"Invited",4,"No"
"S0096","SUP057",23,"Female","Education","Master's","Full-time","Full-time job","No","No",1,"Invited",4,"No"
"S0097","SUP031",25,"Male","Health Sciences","Master's","Full-time","Part-time job","No","No",3,"Invited",1,"No"
"S0098","SUP048",29,"Female","Humanities","Master's","Part-time","Part-time job","No","Yes",,"Invited",4,"No"
"S0099","SUP091",33,"Male","Education","PhD","Full-time","Part-time job","No","Yes",2,"Invited",6,"No"
"S0100","SUP025",28,"Male","Humanities","Master's","Full-time","Part-time job","No","No",2,"Invited",2,"No"
"S0101","SUP101",29,"Female","Humanities","PhD","Full-time","None","No","Yes",2,"Not invited",0,"No"
"S0102","SUP059",30,"Female","Education","PhD","Full-time","Full-time job","Yes","Yes",3,"Invited",0,"Yes"
"S0103","SUP071",28,"Male","Natural Sciences","PhD","Full-time","None","No","No",1,"Invited",6,"No"
"S0104","SUP086",25,"Male","Natural Sciences","Master's","Full-time","Part-time job","No","Yes",4,"Not invited",0,"Yes"
"S0105","SUP054",39,"Female","Health Sciences","PhD","Part-time","Full-time job","Yes","No",3,"Invited",1,"No"
"S0106","SUP015",27,"Female","Social Sciences","Master's","Full-time","Part-time job","No","Yes",,"Not invited",0,"No"
"S0107","SUP117",28,"Male","Natural Sciences","Master's","Full-time","Part-time job","No","No",2,"Invited",2,"No"
"S0108","SUP087",28,"Female","Health Sciences","Master's","Full-time","None","No","Yes",3,"Invited",3,"No"
"S0109","SUP028",31,"Female","Humanities","Master's","Full-time","Part-time job","Yes","No",2,"Invited",6,"No"
"S0110","SUP088",31,"Female","Health Sciences","Master's","Full-time","Part-time job","No","No",,"Invited",3,"No"
"S0111","SUP056",28,"Male","Social Sciences","Master's","Part-time","Part-time job","No","Yes",3,"Not invited",0,"No"
"S0112","SUP004",36,"Female","Education","Master's","Part-time","Full-time job","No","No",3,"Not invited",0,"No"
"S0113","SUP064",34,"Female","Education","PhD","Full-time","Part-time job","Yes","Yes",2,"Invited",4,"No"
"S0114","SUP100",32,"Female","Health Sciences","Master's","Full-time","Part-time job","No","No",2,"Invited",5,"No"
"S0115","SUP023",27,"Male","Social Sciences","Master's","Full-time","None","Yes","Yes",2,"Not invited",0,"No"
"S0116","SUP085",26,"Female","Humanities","Master's","Full-time","Part-time job","No","Yes",2,"Not invited",0,"No"
"S0117","SUP100",32,"Male","Health Sciences","Master's","Full-time","Part-time job","No","No",2,"Not invited",0,"No"
"S0118","SUP062",30,"Female","Education","PhD","Part-time","Full-time job","Yes","Yes",2,"Invited",6,"Yes"
"S0119","SUP090",30,"Male","Health Sciences","Master's","Part-time","Part-time job","Yes","No",4,"Invited",3,"No"
"S0120","SUP056",32,"Female","Social Sciences","Master's","Full-time","None","No","No",1,"Invited",2,"No"
"S0121","SUP086",27,"Female","Natural Sciences","Master's","Full-time","Part-time job","No","Yes",2,"Not invited",0,"No"
"S0122","SUP107",29,"Female","Social Sciences","Master's","Full-time","None","No","No",4,"Invited",4,"No"
"S0123","SUP102",31,"Male","Natural Sciences","PhD","Part-time","None","No","Yes",2,"Not invited",0,"No"
"S0124","SUP005",26,"Female","Education","Master's","Full-time","Part-time job","No","No",1,"Invited",5,"No"
"S0125","SUP038",34,"Female","Health Sciences","PhD","Full-time","None","No","No",4,"Invited",4,"No"
"S0126","SUP086",24,"Male","Natural Sciences","Master's","Full-time","Part-time job","No","Yes",1,"Not invited",0,"No"
"S0127","SUP073",36,"Male","Social Sciences","Master's","Full-time","None","No","No",3,"Not invited",0,"No"
